,Image,Collection,Production,Date,Occasion,Leaflet Language,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Title Language,Season,Directors
3671,Scan 2024-04-29 1242-303.jpeg,1960-1961,Bacchanale,1961-05-23,,ned,True,761234,De Bacchanale,N/A,Ebbe Hamerik,1926,Dionysia,ballet,NL,1960-1961,Mina Bolotine
3672,Scan 2024-04-29 1242-308.jpeg,1960-1961,Het Gemaskerd Bal,1961-05-25,,ned,False,378112,Het Gemaskerd Bal,ITA,Giuseppe Verdi,1859,Un ballo in maschera,melodrama,NL,1960-1961,Mina Bolotine
3673,Scan 2024-04-29 1242-314.jpeg,1960-1961,Cavalleria Rusticana,1961-05-27,,ned,True,923556,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1960-1961,Mina Bolotine
3674,Scan 2024-04-29 1242-314.jpeg,1960-1961,Paljas,1961-05-27,,ned,True,923556,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1960-1961,Mina Bolotine
3675,Scan 2024-04-29 1242-321.jpeg,1960-1961,De Lustige Weduwe,1961-05-28,,ned,False,161966,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3676,Scan 2024-04-29 1242-327.jpeg,1960-1961,Lohengrin,1961-05-28,,ned,False,646201,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1960-1961,Mina Bolotine
3677,Scan 2024-04-29 1242-334.jpeg,1960-1961,De Lustige Weduwe,1961-06-01,,ned,False,902120,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,NL,1960-1961,Mina Bolotine
3678,Scan 2024-04-29 1242-342.jpeg,1960-1961,Don Carlos,1961-06-03,,ned,False,855495,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,Unk,1960-1961,Mina Bolotine
3679,Scan 2024-04-29 1242-353.jpeg,1960-1961,De Barbier van Sevilla,1961-06-04,,ned,False,656119,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1960-1961,Mina Bolotine
3680,Scan 2024-04-29 1242-359.jpeg,1960-1961,Het Gemaskerd Bal,1961-06-04,,ned,False,962228,Het Gemaskerd Bal,ITA,Giuseppe Verdi,1859,Un ballo in maschera,melodrama,NL,1960-1961,Mina Bolotine
3681,Scan 2024-04-29 1242-366.jpeg,1960-1961,Lohengrin,1961-06-08,,ned,False,334520,Lohengrin,DUI,Richard Wagner,1850,Lohengrin,romantische oper,Unk,1960-1961,Mina Bolotine
3682,Scan 2024-04-29 1242-373.jpeg,1960-1961,De Barbier van Sevilla,1961-06-10,,ned,False,488809,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,NL,1960-1961,Mina Bolotine
3683,Scan 2024-04-29 1242-379.jpeg,1960-1961,Don Carlos,1961-06-11,,ned,False,454995,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,Unk,1960-1961,Mina Bolotine
3684,Scan 2024-04-29 1242-386.jpeg,1960-1961,Laagland,1961-06-11,,ned,False,688454,Laagland,DUI,Albert D'Eugen,1903,Tiefland,melodramatische oper,NL,1960-1961,Mina Bolotine
3685,Scan 2024-04-29 1242-393.jpeg,1960-1961,Cavalleria Rusticana,1961-06-13,,ned,True,325937,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,ITA,1960-1961,Mina Bolotine
3686,Scan 2024-04-29 1242-393.jpeg,1960-1961,Paljas,1961-06-13,,ned,True,325937,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,Unk,1960-1961,Mina Bolotine
3687,Scan 2024-04-29 1242-399.jpeg,1960-1961,Don Carlos,1961-06-15,,ned,False,816329,Don Carlos,ITA,Giuseppe Verdi,1867,Don Carlos,romantische opera,Unk,1960-1961,Mina Bolotine
3688,Scan 2024-04-29 1403-40.jpeg,1961-1962,Herbergprinses,1961-09-16,openingsvoorstelling,ned,False,704356,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1961-1962,Renaat Verbruggen
3689,Scan 2024-04-29 1403-74.jpeg,1961-1962,Herbergprinses,1961-09-17,,ned,False,365027,Herbergprinses,NL,Jan Blockx,1896,Herbergprinses,zangspel,NL,1961-1962,Renaat Verbruggen
3690,Scan 2024-04-29 1403-86.jpeg,1961-1962,Cosi Fan Tutte,1961-09-17,,ned,False,356573,Cosi fan Tutte,ITA,Wolfgang Amadeus Mozart,1794,"Cosi fan tutte, ossia La scuola degli amanti",opera buffa,ITA,1961-1962,Renaat Verbruggen
3691,Scan 2024-04-29 1403-92.jpeg,1961-1962,De Alomgeliefde,1961-09-23,,ned,False,427990,De Alomgeliefde,DUI,Nico Dostal,1934,Die Vielgeliebte,operette,NL,1961-1962,Renaat Verbruggen
3692,Scan 2024-04-29 1403-92.jpeg,1961-1962,De Alomgeliefde,1961-09-24,,ned,False,767889,De Alomgeliefde,DUI,Nico Dostal,1934,Die Vielgeliebte,operette,NL,1961-1962,Renaat Verbruggen
3693,Scan 2024-04-29 1403-92.jpeg,1961-1962,De Alomgeliefde,1961-09-28,,ned,False,722223,De Alomgeliefde,DUI,Nico Dostal,1934,Die Vielgeliebte,operette,NL,1961-1962,Renaat Verbruggen
3694,Scan 2024-04-29 1403-92.jpeg,1961-1962,De Alomgeliefde,1961-10-01,,ned,False,271852,De Alomgeliefde,DUI,Nico Dostal,1934,Die Vielgeliebte,operette,NL,1961-1962,Renaat Verbruggen
