,Unnamed: 0,Image,Collection,Production,Date,Occasion,Multiple Bill,Performance_ID,Normalized Title,Original Language,Composer,Original Premiere,Original Title,Genre,Season,Directors,Title Language,Leaflet Language
6032,6032.0,0574_1942-1943_00574-20230306_135908.jpg,1942-1943,Traviata,1943-05-13,,False,136816,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943,Joris Diels,Unk,Dutch
6033,6033.0,0578_1942-1943_00578-20230306_135934.jpg,1942-1943,Madame Butterfly,1943-05-14,Wehrmachsvorstellung,False,921346,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943,Joris Diels,NL,German
6034,6034.0,0580_1942-1943_00580-20230306_135951.jpg,1942-1943,Tosca,1943-05-15,,True,719616,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943,Joris Diels,Unk,Dutch
6035,6035.0,0580_1942-1943_00580-20230306_135951.jpg,1942-1943,De Koekoek,1943-05-15,,True,719616,De Koekoek,?,Jaak Opsomer,?,De Koekoek,ballet,1942-1943,Joris Diels,NL,Dutch
6036,6036.0,0584_1942-1943_00584-20230306_140017.jpg,1942-1943,De Lustige Weduwe,1943-05-16,,False,835692,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943,Joris Diels,NL,Dutch
6037,6037.0,0586_1942-1943_00586-20230306_140115.jpg,1942-1943,Traviata,1943-05-16,,False,835254,Traviata,ITA,Giuseppe Verdi,1853,La traviata,opera semiseria,1942-1943,Joris Diels,Unk,Dutch
6038,6038.0,0590_1942-1943_00590-20230306_140156.jpg,1942-1943,Faust,1943-05-18,,False,395655,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943,Joris Diels,Unk,Dutch
6039,6039.0,0592_1942-1943_00592-20230306_140216.jpg,1942-1943,De Vledermuis,1943-05-20,,False,987438,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943,Joris Diels,NL,Dutch
6040,6040.0,0596_1942-1943_00596-20230306_140247.jpg,1942-1943,De Tooverfluit,1943-05-22,,False,487475,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1942-1943,Joris Diels,NL,Dutch
6041,6041.0,0600_1942-1943_00600-20230306_140445.jpg,1942-1943,Tosca,1943-05-23,,False,681510,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943,Joris Diels,Unk,Dutch
6042,6042.0,0604_1942-1943_00604-20230306_140512.jpg,1942-1943,Het Meisje van Arles,1943-05-23,,False,656045,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,1942-1943,Joris Diels,NL,Dutch
6043,6043.0,0606_1942-1943_00606-20230306_140527.jpg,1942-1943,Het Meisje van Arles,1943-05-25,,False,791510,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,1942-1943,Joris Diels,NL,Dutch
6044,6044.0,0608_1942-1943_00608-20230306_140601.jpg,1942-1943,Tosca,1943-05-27,,True,923369,Tosca,ITA,Giacomo Puccini,1900,Tosca,verismo opera,1942-1943,Joris Diels,Unk,Dutch
6045,6045.0,0608_1942-1943_00608-20230306_140601.jpg,1942-1943,De Koekoek,1943-05-27,,True,923369,De Koekoek,?,Jaak Opsomer,?,De Koekoek,ballet,1942-1943,Joris Diels,NL,Dutch
6046,6046.0,0610_1942-1943_00610-20230306_140619.jpg,1942-1943,Godendeemstering,1943-05-29,,False,275979,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1942-1943,Joris Diels,DUI,Dutch
6047,6047.0,0614_1942-1943_00614-20230306_140646.jpg,1942-1943,Het Meisje van Arles,1943-05-30,,False,760766,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,1942-1943,Joris Diels,NL,Dutch
6048,6048.0,0616_1942-1943_00616-20230306_140703.jpg,1942-1943,Faust,1943-05-30,,False,847574,Faust,FR,Charles Gounod,1859,Faust,grand opera,1942-1943,Joris Diels,Unk,Dutch
6049,6049.0,0618_1942-1943_00618-20230306_140721.jpg,1942-1943,Het Meisje van Arles,1943-06-01,,False,268097,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,1942-1943,Joris Diels,NL,Dutch
6050,6050.0,0620_1942-1943_00620-20230306_140737.jpg,1942-1943,Die Zauberflöte,1943-06-02,,False,825775,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1942-1943,Joris Diels,NL,German
6051,6051.0,0622_1942-1943_00622-20230306_140812.jpg,1942-1943,Carmen,1943-06-03,,False,128491,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943,Joris Diels,Unk,Dutch
6052,6052.0,0624_1942-1943_00624-20230306_140832.jpg,1942-1943,Die Zauberflöte,1943-06-04,,False,110509,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1942-1943,Joris Diels,NL,German
6053,6053.0,0626_1942-1943_00626-20230306_140849.jpg,1942-1943,Het Meisje van Arles,1943-06-05,,False,417049,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,1942-1943,Joris Diels,NL,Dutch
6054,6054.0,0628_1942-1943_00628-20230306_140913.jpg,1942-1943,De Barbier van Sevilla,1943-06-06,,False,985486,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1942-1943,Joris Diels,NL,Dutch
6055,6055.0,0630_1942-1943_00630-20230306_140931.jpg,1942-1943,Heibieke,1943-06-06,,True,473020,Heibieke,NL,Edward Verheyden,?,Heibieke,?,1942-1943,Joris Diels,Unk,Dutch
6056,6056.0,0630_1942-1943_00630-20230306_140931.jpg,1942-1943,Feestdag op het Land,1943-06-06,,True,473020,Feestdag op het Land,,J.A. Zwijsen,?,?,ballet,1942-1943,Joris Diels,NL,Dutch
6057,6057.0,0630_1942-1943_00630-20230306_140931.jpg,1942-1943,De Koekoek,1943-06-06,,True,473020,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1942-1943,Joris Diels,NL,Dutch
6058,6058.0,0632_1942-1943_00632-20230306_140948.jpg,1942-1943,Het Land van den Glimlach,1943-06-08,,False,371833,Het Land van den Glimlach,DUI,Franz Lehár,1923,Das Land des Lächelns,leichte oper,1942-1943,Joris Diels,NL,Dutch
6059,6059.0,0636_1942-1943_00636-20230306_141017.jpg,1942-1943,De Vledermuis,1943-06-10,,False,612433,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943,Joris Diels,NL,Dutch
6060,6060.0,0640_1942-1943_00640-20230306_141046.jpg,1942-1943,Rijngoud,1943-06-12,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,False,737685,Het Rijngoud,DUI,Richard Wagner,1869,Das Rheingold,gesamtkunstwerk,1942-1943,Joris Diels,NL,Dutch
6061,6061.0,0644_1942-1943_00644-20230306_141122.jpg,1942-1943,Madame Butterfly,1943-06-13,,False,813937,Madame Butterfly,ITA,Giacomo Puccini,1904,Madama Butterfly,opera seria,1942-1943,Joris Diels,NL,Dutch
6062,6062.0,0648_1942-1943_00648-20230306_141201.jpg,1942-1943,De Walkure,1943-06-13,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,False,416309,De Walkure,DUI,Richard Wagner,1874,Die Walküre,gesamtkunstwerk,1942-1943,Joris Diels,NL,Dutch
6063,6063.0,0652_1942-1943_00652-20230306_141230.jpg,1942-1943,Siegfried,1943-06-15,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,False,596219,Siegfried,DUI,Richard Wagner,1871,Siegfried,gesamtkunstwerk,1942-1943,Joris Diels,Unk,Dutch
6064,6064.0,0656_1942-1943_00656-20230306_141314.jpg,1942-1943,Godendeemstering,1943-06-17,Hansa-Kultuurdagen der Steden Antwerpen en Keulen,False,385680,Götterdämmerung,DUI,Richard Wagner,1876,Götterdämmerung,gesamtkunstwerk,1942-1943,Joris Diels,DUI,Dutch
6065,6065.0,0660_1942-1943_00660-20230306_141339.jpg,1942-1943,De Rozenkavalier,1943-06-19,,False,992355,De Rozenkavalier,DUI,Richard Strauss,1911,Der Rosenkavalier,comic-fantasy,1942-1943,Joris Diels,NL,Dutch
6066,6066.0,0664_1942-1943_00664-20230306_141405.jpg,1942-1943,Fanny Elssler,1943-06-20,,False,567377,Fanny Elssler,DUI,Johan Strauss II,1934,Die Tänzerin Fanny Elßler,operette,1942-1943,Joris Diels,Unk,Dutch
6067,6067.0,0668_1942-1943_00668-20230306_141433.jpg,1942-1943,Schwanhild,1943-06-20,Hansa-Kultuurdagen der Steden Antwerpen en Keulen + Gastoptreden van de Opera van Keulen,False,447314,Zwaanhild,DUI,Paul Graener,1942,Schwanhild,romantische oper,1942-1943,Joris Diels,NL,Dutch
6068,6068.0,0672_1942-1943_00672-20230306_141523.jpg,1942-1943,Carmen,1943-06-22,,False,471492,Carmen,FR,Georges Bizet,1875,Carmen,opéra comique,1942-1943,Joris Diels,Unk,Dutch
6069,6069.0,0676_1942-1943_00676-20230306_141549.jpg,1942-1943,Der Freischütz,1943-06-23,Vorstellung für der Wehrmacht,False,266461,De Vrijschutter,DUI,Carl Maria von Weber,1821,Der Freischütz,romantische oper,1942-1943,Joris Diels,NL,German
6070,6070.0,0678_1942-1943_00678-20230306_141605.jpg,1942-1943,Het Meisje van Arles,1943-06-24,,False,614835,Het Meisje van Arles,FR,Georges Bizete,1872,L’Arlésienne,zangspel,1942-1943,Joris Diels,NL,Dutch
6071,6071.0,0680_1942-1943_00680-20230306_141619.jpg,1942-1943,De Barbier van Sevilla,1943-06-26,,False,640974,De Barbier van Sevilla,ITA,Giovanni Paisiello,1782,Il barbiere di Siviglia,opera buffa,1942-1943,Joris Diels,NL,Dutch
6072,6072.0,0684_1942-1943_00684-20230306_141644.jpg,1942-1943,Heibieke,1943-06-27,,True,407333,Heibieke,NL,Edward Verheyden,?,Heibieke,?,1942-1943,Joris Diels,Unk,Dutch
6073,6073.0,0684_1942-1943_00684-20230306_141644.jpg,1942-1943,Feestdag op het Land,1943-06-27,,True,407333,Feestdag op het Land,,J.A. Zwijsen,?,?,ballet,1942-1943,Joris Diels,NL,Dutch
6074,6074.0,0684_1942-1943_00684-20230306_141644.jpg,1942-1943,De Koekoek,1943-06-27,,True,407333,De Koekoek,,Jaak Opsomer,?,De Koekoek,ballet,1942-1943,Joris Diels,NL,Dutch
6075,6075.0,0688_1942-1943_00688-20230306_141709.jpg,1942-1943,De Tooverfluit,1943-06-27,,False,622048,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1942-1943,Joris Diels,NL,Dutch
6076,6076.0,0692_1942-1943_00692-20230306_141735.jpg,1942-1943,Die Fledermaus,1943-06-28,Vorstellung für der Wehrmacht,False,384374,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943,Joris Diels,NL,German
6077,6077.0,0694_1942-1943_00694-20230306_141751.jpg,1942-1943,De Lustige Weduwe,1943-06-29,,False,565712,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943,Joris Diels,NL,Dutch
6078,6078.0,0698_1942-1943_00698-20230306_141830.jpg,1942-1943,Die Fledermaus,1943-06-30,Vorstellung für der Wehrmacht,False,107859,De Vledermuis,DUI,Johan Strauss,1874,Die Fledermaus,operetta,1942-1943,Joris Diels,NL,German
6079,6079.0,0700_1942-1943_00700-20230306_141846.jpg,1942-1943,De Tooverfluit,1943-07-01,,False,898150,De Tooverfluit,DUI,Wolfgang Amadeus Mozart,1791,Die Zauberflöte,zangspel,1942-1943,Joris Diels,NL,Dutch
6080,6080.0,0702_1942-1943_00702-20230306_141903.jpg,1942-1943,Monika,1943-07-03,Eerste opvoering,False,287960,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943,Joris Diels,Unk,Dutch
6081,6081.0,0706_1942-1943_00706-20230306_141931.jpg,1942-1943,Monika,1943-07-04,,False,149678,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943,Joris Diels,Unk,Dutch
6082,6082.0,0710_1942-1943_00710-20230306_141957.jpg,1942-1943,Cavalleria Rusticana,1943-07-04,,True,117267,Cavalleria Rusticana,ITA,Pietro Mascagni,1890,Cavalleria rusticana,?,1942-1943,Joris Diels,ITA,Dutch
6083,6083.0,0710_1942-1943_00710-20230306_141957.jpg,1942-1943,Paljas,1943-07-04,,True,117267,Paljas,ITA,Ruggiero Leoncavallo,1892,Pagliacci,verisme,1942-1943,Joris Diels,Unk,Dutch
6084,6084.0,0714_1942-1943_00714-20230306_142024.jpg,1942-1943,De Lustige Weduwe,1943-07-05,,False,622982,De Lustige Weduwe,DUI,Franz Lehár,1906,Die lustige Witwe,operette,1942-1943,Joris Diels,NL,Dutch
6085,6085.0,0716_1942-1943_00716-20230306_142044.jpg,1942-1943,Monika,1943-07-06,,False,769729,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943,Joris Diels,Unk,Dutch
6086,6086.0,0720_1942-1943_00720-20230306_142115.jpg,1942-1943,Monika,1943-07-08,,False,553656,Monika,DUI,Nico Dostal,1937,Monika,operette,1942-1943,Joris Diels,Unk,Dutch
